market_id,county,season,primary_animal_type,weekly_animal_throughput,vaccination_coverage_pct,distance_to_water_source_km,vet_inspections_per_month,prev_outbreaks_2yr,market_density_score,outbreak_risk_flag
MKT-0338,Marsabit,Short Rains,Goats,10,59.3,10.3,2,0,6,0
MKT-0339,Marsabit,Short Rains,Goats,10,45.0,0.5,1,0,6,0
MKT-0340,Turkana,Short Rains,Mixed,15,34.8,0.7,3,0,10,0
MKT-0341,Wajir,Dry Season,Sheep,16,7.6,8.3,3,0,8,0
MKT-0342,Samburu,Short Rains,Mixed,10,17.5,2.6,0,1,1,1
MKT-0343,Garissa,Long Rains,Goats,24,13.3,0.8,1,0,2,1
MKT-0344,Marsabit,Dry Season,Cattle,10,75.2,4.3,2,0,6,0
MKT-0345,Turkana,Dry Season,Cattle,10,76.1,16.8,1,1,6,0
MKT-0346,Turkana,Dry Season,Camels,10,29.9,3.6,0,0,7,0
MKT-0347,Marsabit,Dry Season,Cattle,10,76.7,9.5,1,1,1,0
MKT-0348,Turkana,Dry Season,Sheep,16,64.5,18.5,1,0,6,0
MKT-0349,Baringo,Dry Season,Camels,17,31.9,1.5,1,0,8,0
MKT-0350,Marsabit,Dry Season,Sheep,10,8.8,7.5,2,0,3,1
MKT-0351,Isiolo,Dry Season,Mixed,26,16.8,19.1,0,0,4,0
MKT-0352,Baringo,Dry Season,Mixed,10,57.7,1.7,0,1,1,0
MKT-0353,Wajir,Long Rains,Cattle,10,40.3,35.9,0,1,3,1
MKT-0354,Narok,Long Rains,Camels,10,9.4,3.6,1,0,7,1
MKT-0355,Kajiado,Long Rains,Sheep,20,27.2,2.0,2,0,9,1
MKT-0356,Mandera,Dry Season,Sheep,10,21.8,14.6,0,0,2,0
MKT-0357,Marsabit,Dry Season,Goats,12,37.8,5.0,0,0,6,0
MKT-0358,Garissa,Dry Season,Cattle,29,11.0,8.9,1,1,7,1
MKT-0359,Baringo,Long Rains,Mixed,10,33.9,5.4,0,0,2,0
MKT-0360,Kajiado,Long Rains,Goats,15,20.6,8.3,3,0,8,1
MKT-0361,Isiolo,Dry Season,Mixed,13,45.9,0.5,3,0,2,0
MKT-0362,Mandera,Short Rains,Mixed,10,31.5,3.4,1,1,10,1
MKT-0363,Narok,Short Rains,Sheep,10,17.6,8.6,1,0,5,0
MKT-0364,Narok,Dry Season,Mixed,10,11.4,3.5,3,1,10,0
MKT-0365,Narok,Short Rains,Camels,28,58.4,12.0,2,0,10,0
MKT-0366,Narok,Long Rains,Mixed,12,40.4,25.9,2,1,6,0
MKT-0367,Laikipia,Short Rains,Camels,10,24.6,0.5,0,0,1,0
MKT-0368,Mandera,Short Rains,Mixed,10,15.8,15.5,0,0,7,1
MKT-0369,Samburu,Long Rains,Goats,24,25.1,1.5,1,1,6,1
MKT-0370,Laikipia,Long Rains,Sheep,10,31.3,19.9,1,1,4,0
MKT-0371,Samburu,Long Rains,Goats,10,56.5,23.5,1,3,2,1
MKT-0372,Isiolo,Short Rains,Sheep,12,31.4,6.7,2,1,6,0
MKT-0373,Baringo,Dry Season,Goats,13,65.3,5.2,0,0,9,0
MKT-0374,Isiolo,Long Rains,Cattle,10,48.0,11.4,4,1,8,0
MKT-0375,West Pokot,Long Rains,Mixed,22,67.5,20.0,1,2,10,0
MKT-0376,West Pokot,Short Rains,Mixed,10,41.2,2.1,1,2,6,0
MKT-0377,Garissa,Long Rains,Cattle,20,53.3,3.9,3,3,5,0
MKT-0378,Laikipia,Long Rains,Cattle,14,14.2,4.3,1,1,10,1
MKT-0379,Turkana,Long Rains,Camels,10,28.0,15.0,1,0,7,1
MKT-0380,Marsabit,Dry Season,Goats,10,47.1,1.2,1,2,3,1
MKT-0381,Mandera,Dry Season,Mixed,10,71.8,7.8,1,0,9,0
MKT-0382,West Pokot,Long Rains,Camels,18,70.8,3.5,1,1,6,1
MKT-0383,Turkana,Short Rains,Mixed,11,18.8,17.3,2,0,2,0
MKT-0384,West Pokot,Long Rains,Cattle,10,13.2,3.3,1,0,5,1
MKT-0385,Baringo,Short Rains,Camels,19,15.8,30.5,3,2,9,0
MKT-0386,Narok,Dry Season,Camels,11,30.5,0.5,2,1,6,1
MKT-0387,Marsabit,Long Rains,Camels,11,11.8,2.2,1,0,9,1
MKT-0388,Marsabit,Dry Season,Goats,10,44.3,4.9,0,0,1,0
MKT-0389,Narok,Dry Season,Camels,14,34.8,2.4,2,0,2,0
MKT-0390,West Pokot,Long Rains,Mixed,21,26.1,10.7,1,0,9,1
MKT-0391,Samburu,Long Rains,Goats,16,43.8,13.5,1,0,9,0
MKT-0392,Narok,Long Rains,Mixed,16,66.6,9.6,1,0,1,0
MKT-0393,Turkana,Short Rains,Camels,21,61.7,28.2,1,1,5,0
MKT-0394,Wajir,Dry Season,Camels,10,42.2,4.9,5,0,6,0
MKT-0395,Samburu,Long Rains,Mixed,16,54.2,31.2,1,0,5,0
MKT-0396,Marsabit,Short Rains,Sheep,10,47.2,1.1,1,0,10,0
MKT-0397,Turkana,Dry Season,Camels,11,18.2,15.0,1,1,3,1
MKT-0398,Isiolo,Short Rains,Camels,14,23.0,0.5,2,1,6,1
MKT-0399,Isiolo,Short Rains,Goats,11,53.5,6.1,2,1,9,0
MKT-0400,Laikipia,Long Rains,Mixed,14,16.9,5.3,1,1,10,1
MKT-0401,Baringo,Dry Season,Camels,10,22.5,15.5,1,1,4,0
MKT-0402,Laikipia,Long Rains,Mixed,10,63.5,9.7,0,1,2,0
MKT-0403,Turkana,Dry Season,Goats,10,72.1,4.7,2,0,3,0
MKT-0404,Samburu,Short Rains,Mixed,14,56.9,18.1,3,0,7,0
MKT-0405,Marsabit,Long Rains,Mixed,10,73.8,17.4,1,0,1,0
MKT-0406,Baringo,Long Rains,Goats,10,44.0,0.5,7,1,7,0
MKT-0407,Wajir,Dry Season,Camels,10,33.8,16.4,3,1,10,0
MKT-0408,Baringo,Short Rains,Mixed,20,3.0,6.0,2,1,10,1
MKT-0409,Mandera,Short Rains,Sheep,10,27.6,14.6,1,1,7,0
MKT-0410,Laikipia,Dry Season,Camels,10,58.9,1.6,4,0,10,0
MKT-0411,Laikipia,Dry Season,Goats,10,47.6,1.3,0,1,10,1
MKT-0412,Isiolo,Dry Season,Cattle,10,6.6,10.2,2,1,6,0
MKT-0413,Narok,Short Rains,Sheep,14,32.2,2.6,2,1,2,1
MKT-0414,Baringo,Long Rains,Camels,10,36.8,6.5,2,0,1,0
MKT-0415,Marsabit,Long Rains,Goats,10,46.3,9.3,0,2,3,0
MKT-0416,Baringo,Dry Season,Sheep,15,77.2,7.5,3,0,9,0
MKT-0417,Garissa,Short Rains,Camels,16,35.7,9.6,1,3,10,1
MKT-0418,Narok,Short Rains,Cattle,10,26.9,7.7,5,0,5,0
MKT-0419,Wajir,Long Rains,Camels,10,22.2,3.8,3,0,5,1
MKT-0420,Mandera,Short Rains,Cattle,22,43.9,0.8,1,2,10,0
MKT-0421,Garissa,Dry Season,Cattle,21,12.6,15.5,3,0,10,0
MKT-0422,Wajir,Dry Season,Mixed,10,28.5,15.0,1,0,4,0
MKT-0423,West Pokot,Dry Season,Goats,10,47.7,0.5,1,1,4,0
MKT-0424,Turkana,Long Rains,Mixed,10,22.5,14.7,0,1,7,0
MKT-0425,West Pokot,Dry Season,Cattle,10,21.9,1.3,0,0,10,1
MKT-0426,Isiolo,Short Rains,Goats,10,65.9,3.2,2,1,2,1
MKT-0427,Garissa,Short Rains,Goats,14,44.8,4.3,1,0,7,0
MKT-0428,Turkana,Long Rains,Goats,18,44.4,9.1,1,1,4,0
MKT-0429,Isiolo,Short Rains,Sheep,17,48.0,0.8,0,1,6,0
MKT-0430,Garissa,Short Rains,Camels,10,23.4,14.0,1,0,1,1
MKT-0431,Baringo,Long Rains,Cattle,16,59.1,22.9,1,0,7,1
MKT-0432,Isiolo,Dry Season,Goats,19,28.2,24.4,1,0,3,0
MKT-0433,Samburu,Dry Season,Sheep,18,16.2,0.8,1,0,9,1
MKT-0434,Isiolo,Long Rains,Sheep,10,40.3,20.1,2,1,5,1
MKT-0435,Garissa,Short Rains,Cattle,13,26.6,6.7,1,0,6,0
MKT-0436,Baringo,Short Rains,Mixed,10,34.9,10.4,1,0,10,1
MKT-0437,Baringo,Long Rains,Sheep,10,31.9,21.3,0,2,6,1
MKT-0438,Turkana,Short Rains,Cattle,23,43.1,8.7,3,0,7,0
MKT-0439,Narok,Short Rains,Sheep,10,32.6,4.9,0,0,3,1
MKT-0440,Laikipia,Dry Season,Cattle,10,23.6,6.0,2,0,1,0
MKT-0441,Turkana,Long Rains,Goats,14,36.8,9.2,3,0,1,0
MKT-0442,Marsabit,Short Rains,Mixed,22,45.8,23.2,1,1,7,0
MKT-0443,Laikipia,Dry Season,Sheep,18,60.2,17.6,3,0,10,0
MKT-0444,Samburu,Dry Season,Sheep,10,34.9,6.9,1,0,2,0
MKT-0445,Wajir,Long Rains,Sheep,23,66.3,1.9,1,0,7,0
MKT-0446,Samburu,Short Rains,Camels,10,43.7,3.4,1,1,8,0
MKT-0447,Samburu,Dry Season,Camels,15,45.3,3.6,3,0,1,0
MKT-0448,West Pokot,Dry Season,Goats,15,36.3,2.7,1,1,5,0
MKT-0449,Mandera,Short Rains,Sheep,14,50.6,11.0,2,1,10,0
MKT-0450,Marsabit,Long Rains,Mixed,19,31.6,14.5,0,0,2,0
MKT-0451,Laikipia,Long Rains,Camels,14,51.8,3.1,2,0,3,0
MKT-0452,Wajir,Long Rains,Cattle,10,84.9,15.0,1,1,5,0
MKT-0453,Isiolo,Long Rains,Cattle,10,39.2,10.6,1,1,10,1
MKT-0454,Kajiado,Long Rains,Cattle,18,52.3,4.7,0,1,5,0
MKT-0455,West Pokot,Dry Season,Goats,10,16.1,9.6,2,1,2,0
MKT-0456,West Pokot,Long Rains,Sheep,10,84.7,11.7,0,1,4,1
MKT-0457,Turkana,Short Rains,Sheep,10,13.8,6.6,1,0,7,0
MKT-0458,Wajir,Short Rains,Camels,10,14.4,4.7,0,0,6,0
MKT-0459,West Pokot,Long Rains,Cattle,23,42.6,0.9,0,1,3,0
MKT-0460,Isiolo,Long Rains,Goats,11,82.0,0.5,0,1,4,0
MKT-0461,Samburu,Short Rains,Mixed,10,35.6,22.1,4,0,7,0
MKT-0462,Marsabit,Dry Season,Sheep,10,9.5,2.5,0,0,1,0
MKT-0463,West Pokot,Short Rains,Sheep,10,33.0,8.7,1,0,8,0
MKT-0464,West Pokot,Dry Season,Goats,19,49.7,23.0,1,1,8,1
MKT-0465,Isiolo,Dry Season,Camels,10,30.0,13.6,0,0,3,0
MKT-0466,Laikipia,Short Rains,Goats,11,30.5,1.0,1,0,6,0
MKT-0467,Garissa,Dry Season,Camels,10,53.2,13.0,1,0,2,0
MKT-0468,Samburu,Dry Season,Sheep,18,9.8,10.4,2,1,8,1
MKT-0469,Marsabit,Short Rains,Camels,10,16.5,3.2,3,0,8,0
MKT-0470,Marsabit,Dry Season,Camels,11,47.0,9.4,1,0,3,0
MKT-0471,Isiolo,Long Rains,Camels,14,7.8,14.0,1,1,6,1
MKT-0472,Marsabit,Long Rains,Camels,10,23.6,2.8,1,2,1,1
MKT-0473,Mandera,Short Rains,Cattle,12,60.4,16.3,2,1,4,0
MKT-0474,Marsabit,Dry Season,Cattle,21,37.9,0.7,1,1,9,0
MKT-0475,Turkana,Long Rains,Cattle,12,18.8,6.0,1,1,7,1
MKT-0476,Narok,Dry Season,Cattle,11,54.7,2.1,6,0,4,0
MKT-0477,Laikipia,Dry Season,Goats,15,12.7,10.4,2,0,3,0
MKT-0478,Garissa,Long Rains,Mixed,13,14.8,1.5,3,0,10,0
MKT-0479,Marsabit,Short Rains,Camels,16,9.1,3.3,1,0,8,0
MKT-0480,Garissa,Short Rains,Goats,10,31.8,1.1,2,1,8,0
MKT-0481,Samburu,Short Rains,Cattle,29,64.2,13.4,2,1,6,0
MKT-0482,Marsabit,Dry Season,Camels,18,25.8,1.1,1,0,7,0
MKT-0483,Samburu,Short Rains,Mixed,10,28.6,10.3,1,0,2,1
MKT-0484,Wajir,Long Rains,Camels,10,24.0,9.8,2,1,3,1
MKT-0485,Kajiado,Long Rains,Sheep,11,33.2,1.2,0,2,4,1
MKT-0486,Mandera,Dry Season,Sheep,10,34.4,6.7,1,0,6,1
MKT-0487,Marsabit,Long Rains,Goats,10,26.1,5.5,3,0,2,1
MKT-0488,Samburu,Dry Season,Mixed,10,63.3,7.2,3,0,3,0
MKT-0489,Garissa,Dry Season,Goats,24,43.0,22.1,2,0,8,0
MKT-0490,Narok,Dry Season,Camels,10,12.4,0.7,1,0,3,0
MKT-0491,West Pokot,Short Rains,Mixed,15,64.1,13.7,1,1,10,1
MKT-0492,Kajiado,Short Rains,Goats,10,54.3,15.9,2,1,8,0
MKT-0493,Kajiado,Short Rains,Camels,12,35.5,1.1,1,2,7,1
MKT-0494,West Pokot,Long Rains,Cattle,10,21.0,8.5,3,1,9,0
MKT-0495,West Pokot,Dry Season,Camels,45,52.4,9.7,1,1,6,1
MKT-0496,Garissa,Short Rains,Goats,13,52.5,6.4,3,3,5,0
MKT-0497,Turkana,Short Rains,Mixed,16,62.9,5.6,3,0,2,0
MKT-0498,Kajiado,Long Rains,Mixed,11,32.5,3.1,2,0,1,1
MKT-0499,Mandera,Short Rains,Cattle,21,19.0,9.3,1,2,4,1
MKT-0500,Narok,Long Rains,Goats,20,13.5,2.7,0,0,7,1
MKT-0501,Samburu,Short Rains,Cattle,13,29.1,4.9,2,0,3,0
MKT-0502,Wajir,Dry Season,Sheep,17,37.3,15.6,2,1,5,0
MKT-0503,Narok,Long Rains,Camels,10,25.2,0.8,2,0,8,0
MKT-0504,Laikipia,Long Rains,Sheep,20,46.4,6.0,0,0,2,0
MKT-0505,Samburu,Short Rains,Sheep,16,26.0,5.3,1,0,9,0
MKT-0506,Narok,Short Rains,Cattle,10,41.7,3.8,0,2,5,0
MKT-0507,Baringo,Dry Season,Cattle,11,42.9,7.3,2,1,5,0
MKT-0508,Turkana,Dry Season,Camels,11,29.5,0.5,3,0,3,1
MKT-0509,Isiolo,Long Rains,Cattle,13,25.6,5.4,0,0,2,1
MKT-0510,West Pokot,Long Rains,Cattle,10,39.8,5.3,0,0,9,0
MKT-0511,West Pokot,Short Rains,Cattle,10,33.5,5.8,0,2,4,1
MKT-0512,Samburu,Dry Season,Cattle,12,45.7,1.9,0,0,5,0
MKT-0513,Mandera,Dry Season,Cattle,19,29.3,1.9,3,0,3,0
MKT-0514,Garissa,Long Rains,Sheep,10,44.2,8.3,4,0,6,0
MKT-0515,Narok,Dry Season,Sheep,10,53.0,0.8,2,0,5,0
MKT-0516,Laikipia,Short Rains,Camels,10,29.2,2.9,0,0,3,1
MKT-0517,Turkana,Dry Season,Mixed,10,4.8,14.2,0,0,10,1
MKT-0518,West Pokot,Dry Season,Camels,15,34.6,0.9,2,0,1,1
MKT-0519,Wajir,Long Rains,Goats,15,55.2,5.0,1,2,10,0
MKT-0520,Garissa,Short Rains,Camels,10,32.8,8.8,2,0,3,0
MKT-0521,West Pokot,Dry Season,Camels,18,61.9,1.2,2,1,3,0
MKT-0522,Turkana,Short Rains,Cattle,10,39.3,3.0,1,1,5,1
MKT-0523,Laikipia,Dry Season,Cattle,15,20.9,6.5,0,0,9,0
MKT-0524,Mandera,Short Rains,Cattle,23,53.5,3.2,0,0,4,0
MKT-0525,Laikipia,Dry Season,Mixed,10,19.1,0.9,2,2,2,1
MKT-0526,Isiolo,Long Rains,Cattle,10,61.3,2.1,1,0,1,1
MKT-0527,Samburu,Short Rains,Goats,10,15.0,0.9,1,0,7,0
MKT-0528,Samburu,Dry Season,Sheep,11,7.1,32.9,1,0,9,0
MKT-0529,Wajir,Dry Season,Goats,10,44.1,2.1,0,0,6,0
MKT-0530,Mandera,Long Rains,Mixed,10,53.5,6.0,1,0,9,0
MKT-0531,Garissa,Short Rains,Cattle,34,59.4,4.5,0,1,4,0
MKT-0532,Laikipia,Dry Season,Camels,25,13.1,6.7,2,0,6,1
MKT-0533,Laikipia,Dry Season,Sheep,10,17.2,5.5,2,1,2,0
MKT-0534,West Pokot,Dry Season,Mixed,10,15.7,10.4,1,1,10,0
MKT-0535,Mandera,Long Rains,Goats,12,37.6,16.5,1,1,5,1
MKT-0536,Kajiado,Short Rains,Cattle,23,30.5,2.7,3,0,7,1
MKT-0537,Marsabit,Dry Season,Mixed,12,39.9,1.6,1,0,6,1
MKT-0538,Kajiado,Dry Season,Mixed,11,38.8,33.3,1,0,1,0
MKT-0539,Kajiado,Long Rains,Camels,23,64.8,16.1,4,1,3,1
MKT-0540,Marsabit,Long Rains,Camels,17,61.8,3.6,2,0,5,0
MKT-0541,Isiolo,Long Rains,Camels,10,24.6,18.0,2,0,9,0
MKT-0542,Isiolo,Dry Season,Goats,11,20.6,8.9,1,2,1,0
MKT-0543,Turkana,Dry Season,Camels,10,20.9,4.6,1,0,10,0
MKT-0544,Turkana,Dry Season,Mixed,10,25.4,16.5,2,2,9,1
MKT-0545,Laikipia,Long Rains,Mixed,23,25.1,9.0,1,0,1,1
MKT-0546,Samburu,Long Rains,Mixed,16,58.3,14.0,2,1,2,0
MKT-0547,Mandera,Dry Season,Sheep,14,37.8,4.3,0,0,4,0
MKT-0548,Baringo,Short Rains,Sheep,13,42.7,12.8,1,1,6,1
MKT-0549,Baringo,Long Rains,Goats,24,10.4,3.7,2,1,1,1
MKT-0550,Samburu,Long Rains,Camels,10,29.8,10.6,1,0,7,1
MKT-0551,Turkana,Dry Season,Mixed,10,34.0,4.6,0,0,9,0
MKT-0552,West Pokot,Short Rains,Camels,23,15.6,4.2,1,0,9,1
MKT-0553,Kajiado,Short Rains,Mixed,16,14.6,12.7,1,0,9,0
MKT-0554,Mandera,Short Rains,Sheep,12,30.3,1.1,2,1,2,0
MKT-0555,Garissa,Long Rains,Mixed,10,66.2,21.1,1,1,2,1
MKT-0556,Samburu,Short Rains,Goats,29,55.0,5.7,2,0,1,0
MKT-0557,Isiolo,Long Rains,Cattle,10,45.0,8.1,1,1,10,0
MKT-0558,Baringo,Dry Season,Mixed,10,17.8,4.2,1,0,2,0
MKT-0559,Laikipia,Long Rains,Goats,10,25.6,8.3,2,0,3,1
MKT-0560,Wajir,Short Rains,Sheep,12,80.8,9.9,2,0,2,0
MKT-0561,Narok,Dry Season,Sheep,10,73.4,16.2,1,1,5,1
MKT-0562,Garissa,Long Rains,Cattle,10,18.7,15.4,2,0,4,0
MKT-0563,Garissa,Short Rains,Camels,14,26.9,3.5,1,0,7,1
MKT-0564,Mandera,Long Rains,Camels,12,31.3,7.7,0,0,7,0
MKT-0565,Mandera,Dry Season,Mixed,12,17.3,12.1,3,1,7,1
MKT-0566,Isiolo,Dry Season,Sheep,10,35.3,11.6,0,0,5,0
MKT-0567,Marsabit,Long Rains,Goats,10,27.7,17.7,1,0,10,0
MKT-0568,Samburu,Short Rains,Cattle,10,73.1,14.3,0,1,4,1
MKT-0569,Baringo,Dry Season,Camels,10,68.5,10.1,1,1,8,0
MKT-0570,Marsabit,Long Rains,Mixed,17,9.4,11.1,1,0,4,1
MKT-0571,Baringo,Dry Season,Mixed,11,22.4,13.2,1,0,5,1
MKT-0572,West Pokot,Long Rains,Sheep,10,57.3,14.6,4,1,8,0
MKT-0573,Samburu,Short Rains,Goats,12,36.5,3.5,1,0,3,0
MKT-0574,Narok,Short Rains,Goats,14,38.0,12.2,1,0,7,0
MKT-0575,Samburu,Short Rains,Camels,17,35.2,23.8,2,0,1,1
MKT-0576,Laikipia,Short Rains,Mixed,10,18.0,2.1,2,0,2,1
MKT-0577,Kajiado,Short Rains,Sheep,10,39.4,0.5,1,1,2,1
MKT-0578,West Pokot,Long Rains,Goats,13,40.6,0.6,0,1,5,0
MKT-0579,Wajir,Long Rains,Mixed,10,8.7,2.0,3,0,2,0
MKT-0580,Isiolo,Long Rains,Goats,13,17.9,20.2,2,0,4,0
MKT-0581,Marsabit,Long Rains,Cattle,11,22.6,1.1,2,0,1,1
MKT-0582,Samburu,Dry Season,Goats,10,33.2,11.0,2,1,6,1
MKT-0583,Narok,Dry Season,Goats,10,59.7,16.1,3,0,10,0
MKT-0584,Marsabit,Short Rains,Mixed,22,57.0,16.8,2,0,1,0
MKT-0585,Narok,Long Rains,Goats,10,45.0,4.3,2,0,2,0
MKT-0586,Wajir,Short Rains,Goats,10,86.0,5.5,3,0,4,0
MKT-0587,Baringo,Short Rains,Cattle,11,7.8,3.1,2,0,4,0
MKT-0588,Garissa,Dry Season,Goats,14,50.8,1.3,1,1,9,0
MKT-0589,Narok,Long Rains,Goats,11,24.1,1.9,0,1,5,0
MKT-0590,Samburu,Dry Season,Mixed,21,33.9,1.2,0,1,10,0
MKT-0591,Kajiado,Long Rains,Sheep,19,65.0,4.2,2,0,4,0
MKT-0592,West Pokot,Short Rains,Cattle,17,16.8,1.5,6,1,5,1
MKT-0593,Narok,Dry Season,Goats,15,81.7,4.1,0,0,7,0
MKT-0594,Wajir,Short Rains,Sheep,12,36.6,15.2,2,0,9,0
MKT-0595,Marsabit,Short Rains,Mixed,10,1.9,8.5,3,1,9,0
MKT-0596,Kajiado,Short Rains,Cattle,10,24.1,8.7,4,0,1,0
MKT-0597,Isiolo,Dry Season,Mixed,10,58.8,13.4,1,0,4,0
MKT-0598,Laikipia,Long Rains,Sheep,10,92.4,0.5,0,0,4,0
MKT-0599,Laikipia,Long Rains,Cattle,13,9.0,12.7,2,0,7,0
MKT-0600,Laikipia,Dry Season,Goats,10,64.8,1.7,2,0,6,0
MKT-0601,West Pokot,Long Rains,Sheep,29,43.3,3.4,5,2,8,1
MKT-0602,Samburu,Dry Season,Mixed,10,38.9,2.9,0,2,4,1
MKT-0603,Laikipia,Long Rains,Cattle,10,74.8,0.9,0,0,8,1
MKT-0604,Marsabit,Dry Season,Sheep,18,35.6,1.5,1,0,6,0
MKT-0605,Isiolo,Dry Season,Sheep,10,29.6,25.1,2,0,2,0
MKT-0606,Garissa,Long Rains,Mixed,10,5.5,7.3,1,0,1,1
MKT-0607,Laikipia,Long Rains,Mixed,10,58.0,5.1,3,0,10,0
MKT-0608,Samburu,Dry Season,Goats,18,20.5,11.3,3,1,9,1
MKT-0609,Kajiado,Dry Season,Goats,10,45.0,13.4,2,0,8,0
MKT-0610,Laikipia,Long Rains,Sheep,10,53.6,0.9,1,0,1,1
MKT-0611,West Pokot,Dry Season,Mixed,10,64.1,10.8,1,0,4,0
MKT-0612,Turkana,Long Rains,Sheep,18,89.0,21.6,1,2,2,0
MKT-0613,Mandera,Short Rains,Camels,10,8.9,7.0,3,0,2,0
MKT-0614,Mandera,Long Rains,Mixed,10,34.5,7.6,2,0,7,1
MKT-0615,Narok,Long Rains,Camels,11,38.1,16.3,1,0,10,0
MKT-0616,Marsabit,Short Rains,Camels,10,31.8,9.1,0,1,5,1
MKT-0617,Marsabit,Long Rains,Mixed,13,20.2,42.8,1,0,2,1
MKT-0618,Turkana,Dry Season,Goats,23,19.4,2.7,0,0,1,1
MKT-0619,Isiolo,Short Rains,Sheep,10,29.7,14.9,0,0,1,1
MKT-0620,Kajiado,Short Rains,Cattle,29,55.5,7.6,0,0,4,0
MKT-0621,Narok,Dry Season,Cattle,10,32.7,3.6,3,1,4,1
MKT-0622,Kajiado,Long Rains,Mixed,12,15.6,17.2,0,1,2,0
MKT-0623,Baringo,Short Rains,Goats,10,39.0,44.7,1,1,2,1
MKT-0624,Narok,Dry Season,Goats,10,40.1,0.5,1,1,4,1
MKT-0625,Narok,Dry Season,Goats,10,38.8,20.8,1,0,8,0
MKT-0626,Samburu,Long Rains,Cattle,10,79.2,1.8,0,0,6,1
MKT-0627,Marsabit,Long Rains,Camels,18,26.8,1.8,3,0,1,0
MKT-0628,Turkana,Short Rains,Cattle,10,28.6,0.5,1,1,8,1
MKT-0629,Mandera,Dry Season,Goats,11,63.1,20.4,1,1,5,1
MKT-0630,Kajiado,Long Rains,Cattle,14,65.4,11.4,1,1,10,0
MKT-0631,Mandera,Long Rains,Cattle,10,74.3,0.5,1,0,6,0
MKT-0632,Kajiado,Dry Season,Sheep,10,70.1,8.0,2,0,7,0
MKT-0633,Narok,Short Rains,Mixed,10,15.8,1.0,3,1,10,0
MKT-0634,Marsabit,Short Rains,Camels,10,36.9,11.1,1,2,6,0
MKT-0635,Turkana,Short Rains,Sheep,12,12.2,4.2,5,3,3,1
MKT-0636,Laikipia,Short Rains,Mixed,15,31.0,0.5,1,0,10,0
MKT-0637,Narok,Dry Season,Goats,10,22.4,14.1,1,0,2,0
MKT-0638,Narok,Long Rains,Sheep,10,37.9,6.8,3,0,2,1
MKT-0639,Narok,Short Rains,Mixed,15,15.8,11.9,2,1,3,1
MKT-0640,Laikipia,Short Rains,Sheep,10,18.9,9.0,3,0,6,0
MKT-0641,Kajiado,Short Rains,Cattle,10,64.6,4.6,1,0,1,0
MKT-0642,Marsabit,Dry Season,Cattle,14,15.8,9.6,3,0,3,0
MKT-0643,Garissa,Dry Season,Sheep,11,15.5,0.5,0,2,2,1
MKT-0644,Baringo,Long Rains,Sheep,12,25.4,3.3,3,0,4,0
MKT-0645,Narok,Long Rains,Camels,10,70.7,12.0,0,2,1,1
MKT-0646,Garissa,Long Rains,Goats,10,37.4,11.5,2,2,3,1
MKT-0647,Narok,Short Rains,Cattle,10,13.7,17.5,1,0,4,0
MKT-0648,Laikipia,Dry Season,Sheep,14,47.9,7.6,1,2,5,0
MKT-0649,Mandera,Dry Season,Mixed,10,59.3,22.8,1,0,4,0
MKT-0650,Samburu,Long Rains,Goats,10,61.2,6.5,1,0,5,1
MKT-0651,Baringo,Long Rains,Mixed,16,31.0,5.6,5,1,1,0
MKT-0652,Turkana,Long Rains,Goats,10,35.0,1.8,2,2,8,1
MKT-0653,Mandera,Short Rains,Mixed,12,50.5,12.1,1,0,2,0
MKT-0654,Samburu,Short Rains,Cattle,10,41.1,9.4,2,0,6,0
MKT-0655,Garissa,Long Rains,Sheep,10,1.1,4.9,2,0,2,1
MKT-0656,Isiolo,Short Rains,Sheep,10,74.8,0.7,1,0,2,0
MKT-0657,Wajir,Short Rains,Camels,21,44.1,1.1,2,0,8,0
MKT-0658,Laikipia,Long Rains,Sheep,13,15.8,1.0,0,1,3,0
MKT-0659,Samburu,Dry Season,Cattle,25,63.5,3.8,1,0,8,0
MKT-0660,Narok,Dry Season,Goats,12,52.9,1.4,0,0,2,0
MKT-0661,Samburu,Short Rains,Goats,28,35.8,15.8,2,1,1,1
MKT-0662,Laikipia,Short Rains,Sheep,35,52.5,18.4,3,0,1,0
MKT-0663,Mandera,Long Rains,Mixed,17,49.0,15.5,2,1,7,0
MKT-0664,Turkana,Dry Season,Sheep,10,45.0,7.5,1,0,8,0
MKT-0665,Mandera,Dry Season,Goats,10,38.3,7.3,4,1,1,1
MKT-0666,Kajiado,Dry Season,Camels,10,51.7,17.7,2,0,3,0
MKT-0667,Mandera,Dry Season,Goats,18,52.3,4.2,1,0,4,0
MKT-0668,Isiolo,Short Rains,Mixed,25,21.0,0.5,4,0,8,0
MKT-0669,Samburu,Short Rains,Mixed,10,71.0,5.1,3,0,7,0
MKT-0670,Baringo,Short Rains,Camels,10,16.5,6.5,4,0,5,0
MKT-0671,Laikipia,Long Rains,Mixed,10,37.6,6.4,0,0,7,0
MKT-0672,Laikipia,Short Rains,Sheep,18,25.5,1.4,4,0,2,0
MKT-0673,Garissa,Dry Season,Sheep,13,20.3,12.2,3,0,7,0
MKT-0674,Wajir,Dry Season,Goats,16,27.4,10.5,2,0,1,0
MKT-0675,Wajir,Short Rains,Cattle,12,17.3,2.1,2,0,6,1
MKT-0676,Isiolo,Dry Season,Sheep,12,9.1,6.4,0,0,8,1
